Username,SteamID,First Name,Last Name,Country Code,Team Name
SPEEDY,UIC Speedy#EUW,,,DE,UIC Prime
NIKI,UIC Niki#AMB,,,DE,UIC Prime
BAUMI,UIC Baumi#123,,,DE,UIC Prime
GIANI,UIC Giani#999,,,DE,UIC Prime
BAGUETTO,UIC Baguetto#R3kt,,,DE,UIC Prime
,,,,,
NUTTY,UIC Nutty#Biggu,,,DE,UIC Hydra
PANGER,UIC Panger#JGA,,,DE,UIC Hydra
LANZUS,UIC Lanzus#AEGIS,,,DE,UIC Hydra
VORACITY,UIC Voracity#0711,,,DE,UIC Hydra
PEAPUFFER,UIC PeaPuffer#PUFFY,,,DE,UIC Hydra
MAKZKOVICH,MakZkovich#610,,,DE,UIC Hydra
,,,,,
RAYANDO07,UIC Rayando07#Help,,,DE,UIC Ascend
TTVXAVERTSELTSAM,TTVXavertseltsam#Mr X,,,DE,UIC Ascend
BL4CKPINKFAN,UIC BL4CKPINKFAN#FLOW,,,DE,UIC Ascend
STEVIE,UIC stevie#LISA,,,DE,UIC Ascend
BARDIE3,UIC Bardie3#0711,,,DE,UIC Ascend
QVY,UIC Qvy#rusty,,,DE,UIC Ascend
,,,,,
BALLAS,UIC Ballas#Wisp,,,DE,UIC Tempest
KURT SCHLUSS,UIC Kurt Schluss#1337,,,DE,UIC Tempest
LEVIN2GO,UIC Levin2Go#ATN,,,DE,UIC Tempest
LIGHTNING,UIC Lightning#Uzi,,,DE,UIC Tempest
PHÂNTOX,UIC Phântox#ATN,,,DE,UIC Tempest
RYU PANDA,UIC Ryu Panda#CSX,,,DE,UIC Tempest
,,,,,
STAFFERL,UIC Stafferl#FNC,,,DE,UIC Eclipse
NAIRADAWSM,UIC NairadAwsm#UIC,,,DE,UIC Eclipse
REGENTROPFEN,UIC Regentropfen#H2O,,,DE,UIC Eclipse
PFERDEMILCH,UIC Pferdemilch#Milch,,,DE,UIC Eclipse
SOMALISCHERLP,SomalischerLP#Pirat,,,DE,UIC Eclipse
,,,,,
VTENNIC,UIC VTennic#UIC,,,DE,UIC Vakuum
HUNTER,UIC Hunter#UIC,,,DE,UIC Vakuum
